system:index,built_frac,dist_water_m,elevation_m,lat,lon,lst_c,ndvi,.geo
0,0.06899597169831395,4867.494221876385,741,12.825246627474542,77.45170747609454,39.22110194000004,0.4697733513668594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45170747609454,12.825246627474542]}"
1,0.07564812200143933,4743.416490252569,742,12.82523374366865,77.45308847763084,40.30119625999998,0.42689159752134287,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45308847763084,12.82523374366865]}"
2,0.048011913895606995,4620.876540224809,733,12.825220852624668,77.45446947766217,39.00576668000002,0.4888400420507562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45446947766217,12.825220852624668]}"
3,0.04854163178242743,4500.0,727,12.82520795434264,77.45585047618766,39.47403542000001,0.44668396851815284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45585047618766,12.82520795434264]}"
4,0.10287181858438998,4380.9245599530705,726,12.825195048822598,77.4572314732065,39.77140315999998,0.49167760725549664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4572314732065,12.825195048822598]}"
5,0.31546640978194773,4263.801121065569,728,12.82518213606458,77.45861246871783,40.14054931999999,0.45062613299353016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45861246871783,12.82518213606458]}"
6,0.31546640978194773,4148.795005781799,734,12.825169216068625,77.45999346272082,40.571219840000026,0.3869500560923218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45999346272082,12.825169216068625]}"
7,0.4031986454501748,4036.087214122113,739,12.825156288834767,77.4613744552146,40.70110460000001,0.37913542782339643,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4613744552146,12.825156288834767]}"
8,0.08268608362413943,3925.87569849072,745,12.825143354363044,77.46275544619832,40.38664676000002,0.4078786100226138,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46275544619832,12.825143354363044]}"
9,0.07011958304792643,3818.3766184073565,750,12.825130412653493,77.46413643567116,41.391544640000006,0.3748919324748601,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46413643567116,12.825130412653493]}"
10,0.0634880664292723,3713.8255209419845,747,12.825117463706151,77.46551742363228,41.96235397999999,0.3439137986688595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46551742363228,12.825117463706151]}"
11,0.144508101278916,3612.478373637689,753,12.825104507521052,77.46689841008082,40.54216667000003,0.3914790591437813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46689841008082,12.825104507521052]}"
12,0.2752181983087212,3514.612354157994,761,12.825091544098239,77.46827939501591,39.52701473000002,0.4409318120381604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46827939501591,12.825091544098239]}"
13,0.042691519716754556,3420.5262752974136,755,12.825078573437743,77.46966037843676,39.460363340000015,0.45258081439928965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46966037843676,12.825078573437743]}"
14,0.030754378298297524,3330.5404966761776,762,12.825065595539604,77.47104136034248,40.62932618000002,0.42400109219987275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47104136034248,12.825065595539604]}"
15,0.032438604277558625,3244.9961479175904,765,12.825052610403858,77.47242234073225,38.80068548000003,0.4576256231526006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47242234073225,12.825052610403858]}"
16,0.03267558861989528,3164.253466459348,773,12.825039618030543,77.47380331960521,38.968168460000015,0.41303723979603096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47380331960521,12.825039618030543]}"
17,0.03449279221240431,3088.6890422961,771,12.825026618419693,77.47518429696053,40.07560694000003,0.43395273205082513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47518429696053,12.825026618419693]}"
18,0.06797878269571811,3018.691769624716,773,12.825013611571348,77.47656527279736,42.070021610000026,0.3334232215643817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47656527279736,12.825013611571348]}"
19,0.11853712901938707,2954.6573405388312,773,12.825000597485547,77.47794624711486,42.93136265000001,0.345368427842365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47794624711486,12.825000597485547]}"
20,0.1641852636821568,2853.944638566067,781,12.824987576162322,77.47932721991216,40.82415332000005,0.384547323016802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47932721991216,12.824987576162322]}"
21,0.07317071140278131,2704.163456597992,776,12.82497454760171,77.48070819118846,39.52872374000003,0.3894196034358191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48070819118846,12.82497454760171]}"
22,0.07317071140278131,2554.4079548889604,773,12.824961511803753,77.48208916094286,37.7616074,0.47507320841492556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48208916094286,12.824961511803753]}"
23,0.10712966753635556,2404.6829312822097,784,12.824948468768486,77.48347012917456,37.50525590000001,0.46835929634443246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48347012917456,12.824948468768486]}"
24,0.5133261475712061,2254.9944567559364,787,12.824935418495947,77.48485109588269,40.2738521,0.3993043738119153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48485109588269,12.824935418495947]}"
25,0.556633272441104,2105.35032714273,787,12.82492236098617,77.48623206106642,41.101012940000004,0.42817680219394294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48623206106642,12.82492236098617]}"
26,0.22739560168702155,1955.7607215607948,789,12.824909296239195,77.4876130247249,41.52142939999999,0.40445425819469283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4876130247249,12.824909296239195]}"
27,0.05148195195943117,1806.2391868188445,796,12.824896224255058,77.48899398685728,38.32216268000002,0.6581991021917084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48899398685728,12.824896224255058]}"
28,0.042473311186768115,1656.804152578089,794,12.824883145033796,77.49037494746271,39.576576020000005,0.4891768646967839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49037494746271,12.824883145033796]}"
29,0.04029841744340956,1507.4813431681334,792,12.824870058575447,77.49175590654038,40.03800871999999,0.43504845512594736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49175590654038,12.824870058575447]}"
30,0.1320371637120843,1358.3077707206126,798,12.82485696488005,77.49313686408941,38.229876140000016,0.5220501646147233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49313686408941,12.82485696488005]}"
31,0.5807131190085784,1209.3386622447824,809,12.824843863947638,77.49451782010897,39.188630750000044,0.3748361296262162,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49451782010897,12.824843863947638]}"
32,0.613619941403158,1060.6601717798212,811,12.824830755778251,77.49589877459819,42.389606480000054,0.24127060832760067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49589877459819,12.824830755778251]}"
33,0.3139391541481018,912.4143795447329,805,12.824817640371927,77.49727972755626,38.44862942000003,0.34780897402256616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49727972755626,12.824817640371927]}"
34,0.1797596449032426,764.8529270389176,800,12.824804517728703,77.49866067898233,35.4544439,0.5906531440162273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49866067898233,12.824804517728703]}"
35,0.26795030012726784,618.4658438426491,784,12.824791387848615,77.50004162887554,35.29037893999998,0.5888333009929893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50004162887554,12.824791387848615]}"
36,0.5064957963768393,474.3416490252569,786,12.8247782507317,77.50142257723505,35.63218094000001,0.5068440684739893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50142257723505,12.8247782507317]}"
37,0.16346830152906477,335.4101966249685,790,12.824765106377999,77.50280352406003,35.19467438000004,0.5256792884596869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50280352406003,12.824765106377999]}"
38,0.16346830152906477,212.13203435596427,785,12.824751954787546,77.5041844693496,34.14534223999999,0.6694587776194143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5041844693496,12.824751954787546]}"
39,0.10467302263714373,150.0,766,12.824738795960378,77.50556541310296,34.27864502,0.625049922343022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50556541310296,12.824738795960378]}"
40,0.28578825877048075,212.13203435596427,765,12.824725629896538,77.50694635531923,35.64927104000003,0.6137476757045806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50694635531923,12.824725629896538]}"
41,0.20456241467036307,335.4101966249685,776,12.824712456596055,77.50832729599759,35.529640340000014,0.5253258893570092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50832729599759,12.824712456596055]}"
42,0.5858078598976135,474.3416490252569,794,12.824699276058974,77.50970823513717,35.25619874000006,0.45290488019873404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50970823513717,12.824699276058974]}"
43,0.44355648779310286,618.4658438426491,797,12.824686088285329,77.51108917273714,35.69712332000006,0.5290374898633896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51108917273714,12.824686088285329]}"
44,0.06366504728794098,764.8529270389176,792,12.824672893275157,77.51247010879666,36.81652487000002,0.5496516883178092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51247010879666,12.824672893275157]}"
